time	V(n006)
0.000000000000000e+000	0.000000e+000
9.999999439624929e-011	1.916183e-008
1.040431221411041e-010	1.993650e-008
1.121293776308139e-010	2.148566e-008
1.141509415032413e-010	2.187291e-008
1.181940692480962e-010	2.264731e-008
1.192048511843099e-010	2.284090e-008
1.217318060248441e-010	2.332486e-008
1.247641518334853e-010	2.390555e-008
1.288072795783401e-010	2.467973e-008
1.368935350680498e-010	2.622780e-008
1.507308781820961e-010	2.887617e-008
1.650566765770607e-010	3.161687e-008
1.937082733669898e-010	3.709442e-008
2.449699228131851e-010	4.688530e-008
2.957639403361513e-010	5.657479e-008
3.571114790581843e-010	6.825579e-008
4.798065565022501e-010	9.154843e-008
7.034518917060596e-010	1.338855e-007
7.294684784027288e-010	1.387967e-007
7.815016517960673e-010	1.485934e-007
8.855679985827443e-010	1.681384e-007
1.093700692156098e-009	2.070465e-007
1.448671125045646e-009	2.729578e-007
1.821537321352949e-009	3.416447e-007
2.105969412162348e-009	3.936216e-007
2.326461157110590e-009	4.336214e-007
2.566527451265029e-009	4.768881e-007
2.825173946121495e-009	5.232035e-007
3.095099400467423e-009	5.711988e-007
3.406828569517847e-009	6.262069e-007
3.730891227034002e-009	6.829031e-007
4.136234285341793e-009	7.530431e-007
5.617335499039089e-009	1.003110e-006
8.352149999621354e-009	1.440204e-006
1.115684601607721e-008	1.855374e-006
1.318806247892580e-008	2.136208e-006
1.589060188940046e-008	2.484648e-006
2.001647397342875e-008	2.962952e-006
2.696348525235603e-008	3.654226e-006
3.546595512741492e-008	4.343322e-006
4.465598247348843e-008	4.911822e-006
5.576031472199576e-008	5.392204e-006
7.130238593274154e-008	5.780636e-006
9.799555246129190e-008	6.027104e-006
1.257249892082023e-007	5.967745e-006
1.609141789919932e-007	5.665854e-006
1.999797862376713e-007	5.269719e-006
2.496564477005492e-007	4.806732e-006
2.866272408479306e-007	4.526887e-006
3.238897584986991e-007	4.309135e-006
3.601366974006007e-007	4.148666e-006
4.201371618507996e-007	3.953778e-006
4.932442314580404e-007	3.776723e-006
6.069966465692482e-007	3.527083e-006
7.523659042524632e-007	2.992940e-006
9.797270185028317e-007	9.316594e-007
1.233155983994681e-006	-4.842958e-006
1.501157156816790e-006	-1.843085e-005
1.800806800074742e-006	-4.852678e-005
2.243834511220941e-006	-1.220833e-004
